"LTER","Site/Stream.Name","Sampling.Date","Daily.Avg.Q.(Discharge)","Instantaneous.Q.(Discharge)","Stage.Height","Temp.C","Conductivity","Spec.Cond","Turbidity","TSS","VSS","DSi","TN","TDN","DIN","NOx","NO3","NO2","NH4","DON","TP","TDP","PO4","SRP","DOC","TOC","alkalinity","ANC","pH","DIC","Suspended.Chl","Benthic.Chl","Na","K","Ca","Mg","SO4","Cl"
"ARC ","E 05 Inlet South",1999-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7,24.1,NA,1.54,0.13,NA,NA,1.41,NA,NA,NA,0.0359,NA,922,NA,77,NA,NA,NA,NA,NA,17.4,2.18,61.3,23.3,0.7,9.6
"ARC ","E 05 Inlet South",2000-06-28,NA,NA,NA,5.4,NA,10.5,NA,NA,NA,34.6,18,NA,0.398,0.127,NA,NA,0.271,NA,NA,NA,0.0576,NA,722,NA,43,NA,4.63,122.22,NA,NA,15.3,0.13,38.5,15.2,0.4,0.1
"ARC ","E 05 Inlet South",2000-07-05,NA,83700,NA,3.6,NA,11.3,NA,NA,NA,49.6,24.8,NA,0.4146,0.0906,NA,NA,0.324,NA,NA,NA,0.103,NA,984,NA,27,NA,5.79,86.108,NA,NA,13.3,0.344,47.2,18.2,1.1,0.1
"ARC ","E 05 Inlet South",2000-07-11,NA,3150,NA,8.2,NA,12.2,NA,NA,NA,41.8,19.8,NA,0.135,0.135,NA,NA,NA,NA,NA,NA,0.0288,NA,842,NA,51,NA,5.84,166.613,NA,NA,12.2,0.181,46.1,17.8,0.8,0.3
"ARC ","E 05 Inlet South",2000-07-26,NA,21200,NA,4.3,NA,11.1,NA,NA,NA,52.7,20.4,NA,0.181,0.181,NA,NA,NA,NA,NA,NA,0.0222,NA,876,NA,39,NA,5.88,98.209,NA,NA,9.4,0.138,43.9,17,0.8,0.9
"ARC ","E 05 Inlet South",2000-08-02,NA,2070,NA,10.1,NA,13,NA,NA,NA,47.5,18.5,NA,0.407,NA,NA,NA,0.407,NA,NA,NA,0.0178,NA,806,NA,66,NA,5.83,226.01,NA,NA,11.3,0.293,48.8,18.9,0.1,0.1
"ARC ","E 05 Inlet South",2000-08-09,NA,600,NA,6.7,NA,12.6,NA,NA,NA,46.8,17.3,NA,0.409,NA,NA,NA,0.409,NA,NA,NA,0.0491,NA,823,NA,67,NA,5.93,185.26,NA,NA,11.6,0.384,47.7,18.6,0.5,0.4
"ARC ","E 05 Inlet South",2001-06-25,NA,NA,NA,10.1,NA,11.2,NA,NA,NA,30.3,17.2,NA,NA,NA,NA,NA,NA,NA,0.0861,NA,NA,NA,721,NA,43,NA,5.87,163.994,NA,NA,15,0.287,40.2,15.8,0.4,0.5
"ARC ","E 05 Inlet South",2001-07-03,NA,NA,NA,10.3,NA,13.5,NA,NA,NA,36.8,22.3,NA,NA,NA,NA,NA,NA,NA,0.109,NA,NA,NA,834,NA,43,NA,5.87,192.93,NA,NA,13.7,0.341,47.7,18.7,0.5,0.4
"ARC ","E 05 Inlet South",2001-07-09,NA,NA,NA,7.3,NA,11.1,NA,NA,NA,46.1,18,NA,0.0924,0.0924,NA,NA,NA,NA,0.0962,NA,0.0577,NA,877,NA,31,NA,5.98,91.416,NA,NA,10.4,0.119,41.1,16.3,0.9,0.2
"ARC ","E 05 Inlet South",2001-07-16,NA,NA,NA,11.3,NA,12.8,NA,NA,NA,39.2,19.6,NA,0.092,0.092,NA,NA,NA,NA,0.114,NA,NA,NA,836,NA,54,NA,5.98,198.97,NA,NA,11,0.44,48.2,18.8,0.5,0.4
"ARC ","E 05 Inlet South",2001-07-23,NA,NA,NA,12.1,NA,13.9,NA,NA,NA,40.5,23.3,NA,0.106,0.106,NA,NA,NA,NA,0.0941,NA,0.0442,NA,900,NA,46,NA,5.93,209.11,NA,NA,11,0.196,52.2,20.3,0.3,0.7
"ARC ","E 05 Inlet South",2001-07-30,NA,NA,NA,2.2,NA,11.1,NA,NA,NA,60,18.9,NA,0.117,0.117,NA,NA,NA,NA,0.0918,NA,NA,NA,405,NA,20,NA,5.93,77.154,NA,NA,9.8,0.109,47.1,18.3,1.3,0.6
"ARC ","E 05 Inlet South",2001-08-06,NA,NA,NA,3.3,NA,10.9,NA,NA,NA,59.5,16.3,NA,0.101,0.101,NA,NA,NA,NA,0.0661,NA,NA,NA,806,NA,29,NA,5.6,91.149,NA,NA,10.3,0.182,44.7,17.1,1.4,8.2
"ARC ","E 05 Inlet South",2002-06-17,NA,4580,NA,4.5,NA,10.9,NA,NA,NA,22.9,22.6,NA,0.0803,0.0803,NA,NA,NA,NA,0.121,NA,0.198,NA,825,NA,35,NA,5.94,128.337,NA,NA,16.7,0.164,42.4,14.7,0.5,0.4
"ARC ","E 05 Inlet South",2002-06-24,NA,NA,NA,2.7,NA,10.9,NA,NA,NA,30.4,28.3,NA,0.101,0.101,NA,NA,NA,NA,0.112,NA,NA,NA,1074,NA,34,NA,5.79,74.0808,NA,NA,14.9,0.1,46.9,16.2,0.5,0.5
"ARC ","E 05 Inlet South",2002-06-26,NA,NA,NA,NA,NA,11.2,NA,NA,NA,21.7,18.5,NA,0.0938,0.0938,NA,NA,NA,NA,0.102,NA,0.0208,NA,922,NA,37,NA,NA,NA,NA,NA,14.4,0.258,44.4,14.6,0.4,0.9
"ARC ","E 05 Inlet South",2002-06-27,NA,NA,NA,NA,NA,11.6,NA,NA,NA,19.6,19.6,NA,0.0988,0.0988,NA,NA,NA,NA,0.0948,NA,0.011,NA,933,NA,43,NA,NA,NA,NA,NA,15.2,0.664,45.5,14.9,0.7,0.5
"ARC ","E 05 Inlet South",2002-06-27,NA,NA,NA,NA,NA,11.5,NA,NA,NA,17.9,20.2,NA,0.162,0.162,NA,NA,NA,NA,0.0919,NA,0.0455,NA,863,NA,37,NA,NA,NA,NA,NA,14.3,0.206,44.1,14.4,0.3,0.5
"ARC ","E 05 Inlet South",2002-06-28,NA,NA,NA,NA,NA,11.3,NA,NA,NA,18.8,18.6,NA,0.098,0.098,NA,NA,NA,NA,0.0998,NA,NA,NA,939,NA,36,NA,NA,NA,NA,NA,14.3,0.429,44.7,14.7,0.6,1.3
"ARC ","E 05 Inlet South",2002-07-01,NA,NA,NA,4,NA,11,NA,NA,NA,31.3,26.5,NA,0.24,0.24,NA,NA,NA,NA,0.0892,NA,0.000273,NA,701,NA,36,NA,5.93,97.0996,NA,NA,13.4,0.252,45.7,15.1,0.6,0.2
"ARC ","E 05 Inlet South",2002-07-03,NA,NA,NA,NA,NA,10.5,NA,NA,NA,34.5,19.3,NA,0.0783,0.0783,NA,NA,NA,NA,0.0912,NA,0.006,NA,905,NA,33,NA,NA,NA,NA,NA,12.3,0.801,39.2,14.6,0.7,0.6
"ARC ","E 05 Inlet South",2002-07-06,NA,NA,NA,NA,NA,11.2,NA,NA,NA,36.4,19.1,NA,0.0769,0.0769,NA,NA,NA,NA,0.0931,NA,0.00521,NA,989,NA,33,NA,NA,NA,NA,NA,11.2,0.229,42.2,15.6,0.9,0.1
"ARC ","E 05 Inlet South",2002-07-08,NA,NA,NA,NA,NA,11.6,NA,NA,NA,32.8,18.8,NA,0.0865,0.0865,NA,NA,NA,NA,0.0979,NA,0.0206,NA,1030,NA,37,NA,NA,NA,NA,NA,11,0.211,44.2,16.1,0.9,0.3
"ARC ","E 05 Inlet South",2002-07-10,NA,NA,NA,NA,NA,11.4,NA,NA,NA,31.2,21.1,NA,0.0955,0.0955,NA,NA,NA,NA,0.13,NA,0.0429,NA,887,NA,43,NA,NA,NA,NA,NA,11.5,0.225,43.7,16.3,0.7,0.3
"ARC ","E 05 Inlet South",2002-07-11,NA,NA,NA,NA,NA,11.5,NA,NA,NA,31.1,31.1,NA,0.0821,0.0821,NA,NA,NA,NA,0.0687,NA,0.0592,NA,891,NA,44,NA,NA,NA,NA,NA,12.1,0.186,44.9,16.6,0.8,0.1
"ARC ","E 05 Inlet South",2002-07-11,NA,NA,NA,NA,NA,12.1,NA,NA,NA,30.4,22.3,NA,0.116,0.116,NA,NA,NA,NA,0.131,NA,0.0482,NA,908,NA,45,NA,NA,NA,NA,NA,12.2,0.181,44.8,16.6,0.8,0.2
"ARC ","E 05 Inlet South",2002-07-13,NA,NA,NA,NA,NA,12.2,NA,NA,NA,28.5,18.5,NA,0.0819,0.0819,NA,NA,NA,NA,0.0858,NA,0.0504,NA,866,NA,41,NA,NA,NA,NA,NA,12,0.196,45.1,16.8,0.9,0.1
"ARC ","E 05 Inlet South",2002-07-13,NA,NA,NA,NA,NA,11.8,NA,NA,NA,27.9,20.2,NA,0.0965,0.0965,NA,NA,NA,NA,0.0749,NA,0.0479,NA,871,NA,42,NA,NA,NA,NA,NA,11.4,0.219,43.8,16.1,0.8,0.3
"ARC ","E 05 Inlet South",2002-07-14,NA,NA,NA,NA,NA,11.6,NA,NA,NA,30.9,18.7,NA,0.0907,0.0907,NA,NA,NA,NA,0.0866,NA,0.0477,NA,890,NA,43,NA,NA,NA,NA,NA,10.6,0.24,43,15.8,0.6,0.3
"ARC ","E 05 Inlet South",2002-07-15,NA,2510,NA,8,NA,11.7,NA,NA,NA,30.6,24.1,NA,0.0707,0.0707,NA,NA,NA,NA,0.0912,NA,0.0477,NA,837,NA,44,NA,5.35,133.188,NA,NA,11.1,0.181,42.8,15.9,0.6,0.3
"ARC ","E 05 Inlet South",2002-07-15,NA,NA,NA,NA,NA,12.2,NA,NA,NA,30.7,18.9,NA,0.0865,0.0865,NA,NA,NA,NA,0.0936,NA,0.0502,NA,877,NA,47,NA,NA,NA,NA,NA,11.2,0.397,44.4,16.3,0.7,0.5
"ARC ","E 05 Inlet South",2002-07-15,NA,NA,NA,NA,NA,13.7,NA,NA,NA,31,24.7,NA,0.107,0.107,NA,NA,NA,NA,0.0954,NA,0.0228,NA,934,NA,67,NA,NA,NA,NA,NA,11.5,0.597,55,17.9,0.5,0.9
"ARC ","E 05 Inlet South",2002-07-17,NA,NA,NA,NA,NA,14.3,NA,NA,NA,32.1,22.2,NA,0.13,0.13,NA,NA,NA,NA,0.111,NA,0.0246,NA,1016,NA,66,NA,NA,NA,NA,NA,12.9,0.536,56.2,18.7,0.2,0.5
"ARC ","E 05 Inlet South",2002-07-17,NA,NA,NA,NA,NA,11.6,NA,NA,NA,28.9,22.2,NA,0.0846,0.0846,NA,NA,NA,NA,0.0886,NA,0.0133,NA,836,NA,49,NA,NA,NA,NA,NA,10.1,0.152,45.1,13.5,0.7,0.6
"ARC ","E 05 Inlet South",2002-07-22,NA,1,NA,10,NA,14.1,NA,NA,NA,35.9,21.4,NA,0.0872,0.0872,NA,NA,NA,NA,0.115,NA,0.0167,NA,979,NA,64,NA,5.69,225.643,NA,NA,12.2,0.443,52.5,18.7,0.2,0.4
"ARC ","E 05 Inlet South",2002-07-29,NA,NA,NA,5.3,NA,13.6,NA,NA,NA,34.8,19.8,NA,0.17,0.17,NA,NA,NA,NA,0.102,NA,0.0637,NA,793,NA,63,NA,5.93,237.866,NA,NA,11,0.427,50.9,17.8,0.2,0.4
"ARC ","E 05 Inlet South",2002-07-30,NA,NA,NA,NA,NA,15.9,NA,NA,NA,35.3,21.9,NA,0.138,0.138,NA,NA,NA,NA,0.121,NA,0.0267,NA,867,NA,83,NA,NA,NA,NA,NA,11.3,0.417,58.9,21.1,0.1,0.8
"ARC ","E 05 Inlet South",2002-07-31,NA,NA,NA,NA,NA,12.7,NA,NA,NA,29.3,22,NA,0.115,0.115,NA,NA,NA,NA,0.0835,NA,0.0166,NA,784,NA,62,NA,NA,NA,NA,NA,11.2,0.33,49.3,17.1,0.2,0.5
